"eid","subject_abbreviation","subject"
"2-s2.0-85095813597","Atmos","Atmosphere"
"2-s2.0-85087013963","Atmos","Atmosphere"
"2-s2.0-85094102073","Atmos","Atmosphere"
"2-s2.0-85088568889","Atmos","Atmosphere"
"2-s2.0-85085765013","Atmos","Atmosphere"
"2-s2.0-85081088467","Atmos","Atmosphere"
"2-s2.0-85086464925","Atmos","Atmosphere"
"2-s2.0-85078092682","Atmos","Atmosphere"
"2-s2.0-85088558494","Atmos","Atmosphere"
"2-s2.0-85096019299","Atmos","Atmosphere"
"2-s2.0-85087886589","Atmos","Atmosphere"
"2-s2.0-85087985876","Bio","Bioshpere"
"2-s2.0-85091966419","Bio-M","Biosphere - Marine"
"2-s2.0-85096166990","Bio-M","Biosphere - Marine"
"2-s2.0-85098476254","Bio-M","Biosphere - Marine"
"2-s2.0-85074613498","Bio-M","Biosphere - Marine"
"2-s2.0-85077940907","Bio-M","Biosphere - Marine"
"2-s2.0-85092612972","Bio-M","Biosphere - Marine"
"2-s2.0-85081296681","Bio-M","Biosphere - Marine"
"2-s2.0-85076100987","Bio-M","Biosphere - Marine"
"2-s2.0-85078231729","Bio-M","Biosphere - Marine"
"2-s2.0-85097935085","Bio-M","Biosphere - Marine"
"2-s2.0-85072224476","Bio-M","Biosphere - Marine"
"2-s2.0-85083284559","Bio-M","Biosphere - Marine"
"2-s2.0-85078254010","Bio-M","Biosphere - Marine"
"2-s2.0-85082131815","Bio-M","Biosphere - Marine"
"2-s2.0-85074847954","Bio-M","Biosphere - Marine"
"2-s2.0-85097385230","Bio-M","Biosphere - Marine"
"2-s2.0-85070841686","Bio-M","Biosphere - Marine"
"2-s2.0-85087747146","Bio-M","Biosphere - Marine"
"2-s2.0-85094974319","Bio-M","Biosphere - Marine"
"2-s2.0-85084280472","Bio-M","Biosphere - Marine"
"2-s2.0-85088373247","Bio-M","Biosphere - Marine"
"2-s2.0-85094170395","Bio-M","Biosphere - Marine"
"2-s2.0-85092657483","Bio-M","Biosphere - Marine"
"2-s2.0-85072677389","Bio-M","Biosphere - Marine"
"2-s2.0-85096814862","Bio-M","Biosphere - Marine"
"2-s2.0-85076096518","Bio-M","Biosphere - Marine"
"2-s2.0-85082491684","Bio-M","Biosphere - Marine"
"2-s2.0-85086571938","Bio-M","Biosphere - Marine"
"2-s2.0-85079721230","Bio-M","Biosphere - Marine"
"2-s2.0-85088130894","Bio-M","Biosphere - Marine"
"2-s2.0-85083280641","Bio-M","Biosphere - Marine"
"2-s2.0-85085200362","Bio-M","Biosphere - Marine"
"2-s2.0-85079421725","Bio-M","Biosphere - Marine"
"2-s2.0-85089383205","Bio-M","Biosphere - Marine"
"2-s2.0-85082006246","Bio-M","Biosphere - Marine"
"2-s2.0-85102055969","Bio-M","Biosphere - Marine"
"2-s2.0-85087757441","Bio-M","Biosphere - Marine"
"2-s2.0-85087608144","Bio-M","Biosphere - Marine"
"2-s2.0-85091031851","Bio-M","Biosphere - Marine"
"2-s2.0-85085620427","Bio-M","Biosphere - Marine"
"2-s2.0-85089360078","Bio-M","Biosphere - Marine"
"2-s2.0-85088502226","Bio-M","Biosphere - Marine"
"2-s2.0-85071583190","Bio-M","Biosphere - Marine"
"2-s2.0-85072034570","Bio-M","Biosphere - Marine"
"2-s2.0-85094900430","Bio-M","Biosphere - Marine"
"2-s2.0-85084185835","Bio-T","Biosphere - Terrestrial"
"2-s2.0-85079015533","Bio-T","Biosphere - Terrestrial"
"2-s2.0-85090869747","Bio-T","Biosphere - Terrestrial"
"2-s2.0-85081158206","Bio-T","Biosphere - Terrestrial"
"2-s2.0-85078556400","Bio-T","Biosphere - Terrestrial"
"2-s2.0-85083386402","Bio-T","Biosphere - Terrestrial"
"2-s2.0-85098205018","Bio-T","Biosphere - Terrestrial"
"2-s2.0-85085212283","Bio-T","Biosphere - Terrestrial"
"2-s2.0-85085379899","Bio-T","Biosphere - Terrestrial"
"2-s2.0-85075373575","Bio-T","Biosphere - Terrestrial"
"2-s2.0-85082421322","Bio-T","Biosphere - Terrestrial"
"2-s2.0-85079726234","Bio-T","Biosphere - Terrestrial"
"2-s2.0-85096369846","Bio-T","Biosphere - Terrestrial"
"2-s2.0-85095848493","Bio-T","Biosphere - Terrestrial"
"2-s2.0-85082962457","Bio-T","Biosphere - Terrestrial"
"2-s2.0-85086921892","Bio-T","Biosphere - Terrestrial"
"2-s2.0-85092606371","Bio-T","Biosphere - Terrestrial"
"2-s2.0-85082853291","Bio-T","Biosphere - Terrestrial"
"2-s2.0-85083855289","Cryos","Cryosphere"
"2-s2.0-85086593044","Cryos","Cryosphere"
"2-s2.0-85082311422","Cryos","Cryosphere"
"2-s2.0-85082332762","Cryos","Cryosphere"
"2-s2.0-85096140112","Cryos","Cryosphere"
"2-s2.0-85085248934","Cryos","Cryosphere"
"2-s2.0-85076911669","Cryos","Cryosphere"
"2-s2.0-85095933076","Cryos","Cryosphere"
"2-s2.0-85078304934","Cryos","Cryosphere"
"2-s2.0-85089905202","Cryos","Cryosphere"
"2-s2.0-85096017317","Cryos","Cryosphere"
"2-s2.0-85097501572","Cryos","Cryosphere"
"2-s2.0-85092459270","Cryos","Cryosphere"
"2-s2.0-85088308563","Cryos","Cryosphere"
"2-s2.0-85088027070","Cryos","Cryosphere"
"2-s2.0-85092274444","Cryos","Cryosphere"
"2-s2.0-85079571171","Cryos","Cryosphere"
"2-s2.0-85091448253","Cryos","Cryosphere"
"2-s2.0-85089833018","Cryos","Cryosphere"
