scopus_subject_id,scopus_subject_name,scopus_subject_child_id,scopus_subject_child_name,custom_subject_grouping
10,Multidisciplinary,1000,Multidisciplinary,Multidisciplinary
11,Agricultural and Biological Sciences,1100,General Agricultural and Biological Sciences,Life
11,Agricultural and Biological Sciences,1101,Agricultural and Biological Sciences (miscellaneous),Life
11,Agricultural and Biological Sciences,1102,Agronomy and Crop Science,Life
11,Agricultural and Biological Sciences,1103,Animal Science and Zoology,Life
11,Agricultural and Biological Sciences,1104,Aquatic Science,Life
11,Agricultural and Biological Sciences,1105,"Ecology, Evolution, Behavior and Systematics",Life
11,Agricultural and Biological Sciences,1106,Food Science,Life
11,Agricultural and Biological Sciences,1107,Forestry,Life
11,Agricultural and Biological Sciences,1108,Horticulture,Life
11,Agricultural and Biological Sciences,1109,Insect Science,Life
11,Agricultural and Biological Sciences,1110,Plant Science,Life
11,Agricultural and Biological Sciences,1111,Soil Science,Life
12,Arts and Humanities,1200,General Arts and Humanities,Social
12,Arts and Humanities,1201,Arts and Humanities (miscellaneous),Social
12,Arts and Humanities,1202,History,Social
12,Arts and Humanities,1203,Language and Linguistics,Social
12,Arts and Humanities,1204,Archeology (arts and humanities),Social
12,Arts and Humanities,1205,Classics,Social
12,Arts and Humanities,1206,Conservation,Social
12,Arts and Humanities,1207,History and Philosophy of Science,Social
12,Arts and Humanities,1208,Literature and Literary Theory,Social
12,Arts and Humanities,1209,Museology,Social
12,Arts and Humanities,1210,Music,Social
12,Arts and Humanities,1211,Philosophy,Social
12,Arts and Humanities,1212,Religious Studies,Social
12,Arts and Humanities,1213,Visual Arts and Performing Arts,Social
13,"Biochemistry, Genetics and Molecular Biology",1300,"General Biochemistry,Genetics and Molecular Biology",Life
13,"Biochemistry, Genetics and Molecular Biology",1301,"Biochemistry, Genetics and Molecular Biology (miscellaneous)",Life
13,"Biochemistry, Genetics and Molecular Biology",1302,Aging,Life
13,"Biochemistry, Genetics and Molecular Biology",1303,Biochemistry,Life
13,"Biochemistry, Genetics and Molecular Biology",1304,Biophysics,Life
13,"Biochemistry, Genetics and Molecular Biology",1305,Biotechnology,Life
13,"Biochemistry, Genetics and Molecular Biology",1306,Cancer Research,Life
13,"Biochemistry, Genetics and Molecular Biology",1307,Cell Biology,Life
13,"Biochemistry, Genetics and Molecular Biology",1308,Clinical Biochemistry,Life
13,"Biochemistry, Genetics and Molecular Biology",1309,Developmental Biology,Life
13,"Biochemistry, Genetics and Molecular Biology",1310,Endocrinology,Life
13,"Biochemistry, Genetics and Molecular Biology",1311,Genetics,Life
13,"Biochemistry, Genetics and Molecular Biology",1312,Molecular Biology,Life
13,"Biochemistry, Genetics and Molecular Biology",1313,Molecular Medicine,Life
13,"Biochemistry, Genetics and Molecular Biology",1314,Physiology,Life
